Left Pose	Combined Text	Left Text	Right Pose	Backgrounds	1039
sculpting	a statue, a sculptor, an artist	a sculture, a carving, a chisel	impressed	balcony, art studio, statue	
serving	serving	a hamburger, dinner, protein, meat	drinking, sipping, hungry, slurping	restaurant, food truck, barbecue, dining room	
serving dinner	serving dinner, a waiter	dinner, dinner time, What would you like to eat?, Would you like to order?	drinking, sipping, hungry, slurping	restaurant, food truck, barbecue, dining room	
serving plate	dinner time, a waiter	a lid, Dinner is served, It's dinner time	drinking, sipping, hungry, slurping	restaurant, food truck, barbecue, dining room	
stacking	a stack of plates, doing the dishes, stacking dishes	plates, dishes	serving, serving dinner	restaurant, dining room, restaurant exterior	
stacking	washing the dishes	dirty dishes, a dish washer	cleaning	kitchen	
piling	a pile of oranges	oranges, vitamin C	eating grapes	grocery store, marketplace, greenhouse	
strong	strong, muscular	muscles, healthy, muscular	impressed, training	gym, dojo, outdoor training area, locker room, training hall	
supporting	a cheerleader, supporting	support, a fan, a fan club	competing, dunking	sports field, school sportsfield	
sympathetic	sympathetic, sympathy	a heart, a balloon, a heart-shaped balloon	sad, disappointed, rejected, depressed, sick	hospital, rain, rain and clouds, slum, naples, charity event, MRI machine, rooftop	
wooing	the heart, a suitor, a romantic, a fiance	a romantic gesture, a proposal	posing, confident	courtyard, restaurant exterior, office party, milky way	
patriotic	fighting for freedom, a patriot, patriotic	a shield, a torch, a citizen	saluting, committing, guiding, waving flag	statue of liberty, north by northwest, war memorial	
signing	handwriting	a pen, a signature, linguistics	chronicling	parthenon, netherlands, boston, sunset over the mountains	
munching	eating breakfast, breakfast	a bowl, breakfast cereal, a  bowl of cereal	rumbling, charmed, stacking	kitchen, restaurant, dining room	
goading	goading, a cape, a matador	a cape	bullying, charging	spain, naples	
leaping	leaping, jumping	a leap, a jump	stepping up	sunset over the mountains, mountain top	
leaping	dancing, a dance, to dance	a dancer	stepping up	stage	
tipping	leaving a tip, tipping	a tip, a coin, money	indicating, impressed, negotiating	las vegas	
interviewing	interviewing, asking questions, an interview, an interviewer	a microphone, a question	thinking, shrugging, indicating	radio station	
breakfasting	breakfast time, eating breakfast	a cereal box, a box of cereal, breakfast cereal, cornflakes	cooking	kitchen, dining room	
offering	offering a sacrifice, a priest, slaughtering a lamb	a lamb, a sacrifice, a knife, a sacrificial lamb	put out, thinking	parthenon, mexico	
heroic	a hero, heroic	a cape, a mask, a disguise	high fiving, impressed, saluting	statue of liberty, mountain top, statue, trophy room, war memorial	
rescuing	a rescue, a protector, a savior	a horse, a horse rider	impressed, cowering	argentina, peru, texas, oklahoma, marshlands with bodies	
treating	a pharmacist, a pharmacy, a drug dealer	medicine, pills, drugs	sick, rumbling, regaining consciousness, wounded, aching	hospital, MRI machine	
knightly	a knight	a suit of armour, armour, a sword	riding, committing	drawbridge, tower tops, open city gates	
ushering	pointing the way	an umbrella, a direction	holding umbrella, guiding	dublin, estonia, europe, florence duomo, frankfurt, pisa, St. Basil's cathedral	
imperious	an emperor, a king, a prince	a crown	bowing, overshadowed	rome, map room, trophy room	
pointing	the sky, pointing up	a finger, upwards	towering	rocks and sky	
pointing with umbrella	a restaurant	an umbrella, a direction, upwards	purposeful	restaurant exterior	
droving	a flock of sheep, guiding the flock	a lamb, sheep, a flock, a shepherd	high fiving, indicating	farm, kansas, kentucky, idaho, nebraska, peru, argentina	
on soapbox	giving a lecture, delivering a lecture, giving a speech	a box, standing on a box, a speech	plugging ears	government, classroom	
negotiating for	a negotiation, a negotiator	a bargain, a deal, a coin, a price	whispering	tech office, negotiating table	
owed	demanding payment, a creditor	a loan, a demand	embarrassed, put out, negotiating	bank, negotiating table	
owing	a debt, a loan, a credit card, in debt, an unsuccessful company	a debt, a debtor, a bad investment	owed, insisting	bank, negotiating table	
paying	paying the bill, paying	the bill, the price, the amount, a customer	profiting, massaging, embracing	bank exterior, bank	
renting	renting an apartment, renting	keys, a tenant	visiting, negotiating	baltimore, providence, new jersey, connecticut, maralago	
hoarding	hoarding	a hoard, selfish, greedy, money	mugging, pleading	crypto,, las vegas, maralago	
negotiating	negotiating	a bargain, a deal, a coin, a price	thinking, shrugging, paying	bank, negotiating table, office desk	
selling	selling, doing business, running a business, a business person	a deal, an offer, a transaction	negotiating, shrugging	superstore, negotiating table, marketplace	
profiting	profit, a success, successful, a successful company, economics, economy	money, income, cash, wealth, a good investment	paying, negotiating, tipping	bank, las vegas, negotiating table, crypto	
rewarding	a reward, loyalty	a dog, a treat, a pet	handshaking, shaking hands	montreal, ireland,  sunny field, picnic, garden	
blackbag	a black bag	a sack, a bag, a mystery, nothing	unaware	forest path, park night, georgia	
blackmailing	blackmail, a blackmailer	a smoking gun, evidence	cheating	las vegas	
corrupting	corruption, a criminal, crime	unethical, a crook	confused, thinking, sneaky	forest path, backstage	
devious	devious, sneaky	a plan, a scheme, a conspiracy, a crook	worried, thinking, confused	forest path, outdoors night	
luring	offering money, follow the money	bait, an enticement, money, a money trail	bending to see, tracking	forest path, las vegas, outdoors night	
mischievous	to peel a banana, mischief, a troublemaker, a joker	a banana, a banana peel	scolding	playground, school courtyard	
misleading	causing trouble, going the wrong way	danger, the wrong way	unaware, dispatched	boneyard, secure area	
misrepresenting	a hypocrite, hypocrisy	two-faced, masks	confused, worried	backstage, nuclear plant	
snatching	a kidnapper	a black bag	scared, running away, fleeing, cowering, blocking	park night, city on a hill, outdoors night	
sneaky	sneaky, a sneak, a trickster	a rat, a cunning plan, a trick, politics, a politician	suspecting, thinking, worried, confused	high windows exterior, backstage, attic	
stalking	to stalk, a stalker, a prowler	the bushes, a predator	unaware, worried, scared	park night, city on a hill, outdoors night	
tracking	tracking, searching, following, following the scent	a follower, a tracker, a flashlight, footsteps, a trail	luring	swamp, swamp hollow, forest path	
snake charming	a snake charmer, being charming, a charmer	a snake, a tune, a flute	thoughtful, charmed	pakistan, delhi, islam, mumbai	
manipulating	a puppet master, a monster, a creep, creepy, a sea monster, a villain	seafood, octopus, octopus salad, a villain	blocking, hindering, running off	boat dock, luxury yacht, ocean	
saluting	the navy		manipulating	boat dock, luxury yacht	
gossiping about	gossip, a story, spreading gossip, pointing the finger	a rumour	unwary, listening, carrying for	school hallway, office party, diverse workplace	
gossipy	spreading rumours,  revealing a secret	a secret, a gossip	plugging ears, surprised	locker room, office party, secure area, secret bunker, pentagon	
lying for	telling a lie, a liar, breaking a confidence	a story, a tale	insisting, put out	school hallway, courtroom	
cheating	cheating at cards, a cheat, a gambler, playing cards	a deck of cards, a card game	worried, thinking, confused	las vegas, negotiating table	
evaluating	evaluating the situation, an evaluation, ticking the boxes	a checklist, a clipboard	thinking, put out, worried	factory, interview room	
gagged	the sense of speech, unable to speak	a gag	silencing	police state	
learning	learning, doing math, learning math, a mathematician, mathematics, looking for a solution	a math problem, solving a problem, a problem	insisting, questioning	university	
philosophical	philosophical, a philosopher, philosophy, a deep thinker	a skull, a deep question	shrugging, put out, confused	meditation garden, oxford	
philosophical	philosophical, a philosopher, philosophy, a deep thinker	a skull, a deep question	shrugging, put out, confused	meditation garden, parthenon	
reading	reading a book, a reader	a book, grammar, a dictionary	reading magazine, reading newspaper	window cityview, library	
reading comics	reading a comic	a comic book	geeky	window cityview, playground	
geeky	a geek	toys	reading comics	window cityview, playground	
shouting	shouting, screaming, loud	a shout, a scream	plugging ears, listening	music festival, protest march	
speaking	speaking, a speaker	a microphone, language, words	plugging ears, listening	conference room, classroom	
speaking for	an announcement, making an announcement	a microphone, a representative	whispering	newsroom, radio station, conference room	
whispering	whispering, a low voice	a whisper	listening	classroom, secure area	
thinking	thinking, a thinker	Usually	questioning, put out	university, oxford, columbia, berkeley, harvard	
thinking	philosophy, a philosopher		questioning, put out	university, oxford, columbia, berkeley, harvard	
questioning	asking a question, a skeptic, a doubter	a question, a doubt, What would you like to do?, Please let me know	interviewing	newsroom, radio station	
indicating	indicating, pointing	index finger	towering	statue, petronas	
chronicling	a historian, history, historical, making a list, compiling a list	a chronicle, a pen, a scroll, a document, paper, a list, a linguist, a scholar	ruling, haughty, worshipped, signing	open city gates, parthenon, rome, above florence, city of towers	
lecturing	lecturing, giving a lecture, education	a lecture, books, a sermon	thinking, put out, shrugging, plugging ears, listening	classroom, harvard, columbia, university, oxford, school hallway	
monitoring	spying, curiosity, a spy, watching, monitoring	a telescope	embarrassed	high windows exterior, courtyard, chicago	
tweeting	tweeting, social media	a tweet, a digital device	learning	social media platform	
interrogating	interrogating, an interrogation, getting answers, hard questions	a whip, torture	defensive, blocking, put out	dungeon, interview room	
examining	examining, probing, looking closely	a magnifying glass, evidence, a clue	thinking, thoughtful	arizona, oil well, oklahoma	
probing	a detective, an investigator, looking closely	a magnifying glass	embarrassed	hospital, MRI machine	
foretelling	a fortune teller, seeing the future, making a prediction	a crystal ball, a prediction, a forecast	shrugging, thoughtful	milky way, las vegas, tech office	
one	one	first, one day, one week	calculating	high windows interior, sparring ring	
two	two	second, two days, two weeks	calculating	high windows interior, sparring ring	
three	three	third, three days, three weeks	calculating	high windows interior, sparring ring	
four	four	fourth, four days, four weeks	calculating	high windows interior, sparring ring	
five	five	fifth, five days, five weeks	calculating	high windows interior, sparring ring	
six	six	sixth, six days, six weeks	calculating	high windows interior, sparring ring	
seven	seven	seventh, seven days, seven weeks	calculating	high windows interior, sparring ring	
eight	eight	eighth, eight days, eight weeks	calculating	high windows interior, sparring ring	
nine	nine	ninth, nine days, nine weeks	calculating	high windows interior, sparring ring	
zero	zero, nothing, none	nothing	calculating	high windows interior, sparring ring	
one	January, Monday	one, first	one flipped	winter	
two	February, Tuesday	two, second place	two flipped	winter	
three	March, Wednesday	three, third	three flipped	greenhouse	
four	April, Thursday	four, fourth, the four seasons	four flipped	rain, rain and clouds	
five	May, Friday	five, fifth	five flipped	garden	
six	June, Saturday	six, sixth	six flipped	barbecue	
seven	July	seven, seventh, Sunday	seven flipped	sunny field	
eight	August	eight, eighth	eight flipped	picnic	
nine	September	nine, ninth	nine flipped	school hallway	
ten	October	ten, tenth	ten flipped	falling leaves	
eleven	November	eleven,eleventh	eleven flipped	rain, rain and clouds	
twelve	December	twelve, twelfth	twelve flipped	christmas market	
one	thirteen, thirteenth		three flipped	car factory, amazon	
one	fourteen, fourteenth		four flipped	car factory, amazon	
one	fifteen, fifteenth		five flipped	car factory, amazon	
one	sixteen, sixteenth		six flipped	car factory, amazon	
one	seventeen, seventeenth		seven flipped	car factory, amazon	
one	eighteen, eighteenth		eight flipped	car factory, amazon	
one	nineteen, nineteenth		nine flipped	car factory, amazon	
two	twenty, twentieth		zero	car factory, amazon	
sweating	Summer	a heat wave	squirting, tossing drink	desert, hawaii, barbecue	
ushering	Spring, springtime		suave	canada	
holding umbrella	Autumn, falling leaves		dispatched	columbia, country road, wisconsin	
shivering	Winter, snow		cold shoulder	winter, colorado	
tipping	a toll road	a toll	owed, blocking	checkpoint charlie	
calculating	a calculator, calculating, counting, a number, a digit	first	one flipped	classroom, amazon, train station	
calculating	a calculator, calculating, counting, a number, a digit	second	two flipped	classroom, amazon, train station	
calculating	a calculator, calculating, counting, a number, a digit	third	three flipped	classroom, amazon, train station	
calculating	a calculator, calculating, counting, a number, a digit	fourth	four flipped	classroom, amazon, train station	
calculating	a calculator, calculating, counting, a number, a digit	fifth	five flipped	classroom, amazon, train station	
calculating	a calculator, calculating, counting, a number, a digit	sixth	six flipped	classroom, amazon, train station	
calculating	a calculator, calculating, counting, a number, a digit	seventh	seven flipped	classroom, amazon, train station	
calculating	a calculator, calculating, counting, a number, a digit	eighth	eight flipped	classroom, amazon, train station	
calculating	a calculator, calculating, counting, a number, a digit	ninth	nine flipped	classroom, amazon, train station	
calculating	a calculator, calculating, counting, a number, a digit	nothing	zero flipped	classroom, amazon, train station	
kneeling	kneeling down	knees	ruling, commanding, summoning	iron throne, trophy room	
campaigning	to recommend, a recommendation, a campaign, a campaigner	a pamphlet	campaigning against	campaign trail, debate stage, government	
voting for	voting, a polling station, an election	a vote, a yes vote, a ballot box	campaigning, charming	polling station	
commanding	commanding, a commander, a general, giving an order	a soldier, an order, a salute, a captain	saluting	battlefield, pentagon, military base	
directing	directing a movie, a movie director, making a movie	a movie, a film	riding, patriotic	north by northwest, hollywood	
leading	leading,  a leader, a shepherd	sheep, a walking stick, a flock	dispatched, farming	farm, kansas, kentucky, idaho, nebraska, peru, argentina	
leading	leading,  a leader, a shepherd	sheep, a walking stick, a flock	dispatched, droving	farm, kansas, kentucky, idaho, nebraska, peru, argentina	
ruling	a king, an emperor	a crown, a ruler, a command, a president	bowing, saluting	iron throne, scotland	
brainwashing	brainwashing, a hypnotist, hypnotism,  mind control	a clockwork orange	charmed, brainwashed	laundrette	
conquering	conquering, a conqueror, a winner, a victory	a battle, skulls	bowing, blocking, pleading	marshlands with bodies, libya	
campaigning against	an opponent, a protest, a critic, a debate, an election campaign	a pamphlet, an argument	campaigning	protest march, government	
radicalizing	a radical, a zealot, a true believer, a believer	a bible, a crucifix	plugging ears, shrugging, brainwashed	protest march, vatican	
voting against	disapproval, a critic, a skeptic	a no vote, a ballot box	campaigning, campaigning against, disagreeing	polling station	
worried	worried, worry, concern, anxiety	a worried look	sneaky, put out, treating	psychiatrist office, rooftop	
suicidal	suicide, feeling suicidal	a gun, bad thoughts, self-destruction	blocking, hindering, sympathetic	psychiatrist office, rooftop	
sitting	sitting down	a vase, an antique, porcelain, pottery	persian urn prop	attic, museum, backstage	
sitting on box	setting down	a wooden box, a box, a crate	grecian urn prop	parthenon, museum, art studio	
probing	an antique dealer	a magnifying glass	grecian urn prop, persian urn prop	parthenon, museum, art studio	
sitting on box	a boat, a harbour, a dock	a wooden crate	sharktank prop	luxury yacht, boat dock	
running away, cowering	a coward, lacking courage, cowardly	scared, fear	cerberus prop	cave, cave rocks, dark city, city on a hill	
whirlwind	a whirlwind, a tornado, a storm, a typhoon, chaos	a tornado, a whirlwind, a storm	running away, shielding behind umbrella, shielding with umbrella	rain, rain and clouds, lightning	
rewarding	a reward, rewarding, a pet, a treat	a dog, a pet, a treat	chimera prop	cave rocks, boneyard, laboratory	
ghost prop	a ghost, a phantom		scared, cowering	haunted house, graveyard, graveyard with walls	
grim reaper prop	death	a scythe	scared, defensive, blocking, cowering	haunted house, marshlands with bodies	
skeleton prop	a skeleton	bones	scared, defensive, blocking, cowering	mountain trees, haunted house, graveyard, graveyard with walls	
wolf howling prop	a howl, howling, a howling wolf	a wolf	scared, defensive, blocking, running away	gravel path, mountain trees	
wolf prop	a wolf	a wolf	scared, defensive, blocking	gravel path, city on a hill, dark city, secure area, africa	
lion roaring prop	a roar, a roaring lion, a fierce lion, a wild animal	a lion	scared, defensive, blocking, running away	dawn of man, africa	
lion prop	a lion	a lion	scared, defensive, blocking	dawn of man, africa	
panther roaring prop	a threat, a roaring panther, a wild animal	a panther	scared, defensive, blocking, running away	dawn of man, africa	
panther prop	a panther, a wild animal	a panther	scared, defensive, blocking	dawn of man, africa, rwanda	
tiger roaring prop	a tiger, a fierce tiger	a tiger, a big cat	scared, defensive, blocking	dawn of man, africa, rwanda	
dog prop	a dog, a pet dog	a dog, a puppy	rewarding	boulevard, picnic, playground, barbecue, garden, sunny field	
monolith prop	a mystery	a black stone	bowing, pointing	gobi desert, egypt, africa	
timebomb prop	a bomb, a time bomb	a ticking timebomb	scared, defensive, blocking, running away	philadelphia, outdoors night, nuclear plant, lebanon, courthouse	
penguin prop	a penguin, an exotic bird, a flightless bird	a penguin	shivering	south pole	
bull prop	a bull	a bull	goading	spain	
sundae prop	a dessert	an icecream sundae	hungry, joy	christmas market, food truck	
meteors	a meteor shower	a meteor, meteors	running away, shielding behind umbrella, shielding with umbrella	extinction, mordor, war of the worlds	
cow prop	a cow	a farm animal	farming, riding	farm, kansas, kentucky, idaho, nebraska, peru, argentina	
brundlefly prop	a monster, a giant fly	a mutant, a scary monster	scared, defensive, blocking, running away, experimenting	apocalypse, laboratory	
golden cat prop	good luck	a golden cat	rewarding	shanghai, beijing	
silverback prop	a gorilla	an ape, a great ape	scared, defensive, blocking, cowering	dawn of man, rwanda, africa	
frozen dinosaur prop	a dinosaur	a frozen dinosaur, a dinosaur in ice	probing, bending to see	frozen in ice	
spider prop	a spider	a spider	scared, surprised	africa, attic, dungeon	
wasps prop	wasps, a swarm of wasps	a swarm	running away, surprised	mountain trees, sunny field, picnic, garden, barbecue	
cerberus eating prop	a predator	a hungry hound	running away, surprised, slinging mud	apocalypse, cave rocks, mountain trees	
clock prop	a clock, time, an hour	a clock, 1:24 pm	destructive	billboard on busy highway, apocalypse, muddy rubbish dump	
mouse prop	a mouse	a tiny animal, a rodent	towering	statue, petronas	
stephen hawking	a physicist, a famous scientist	a famous physicist, a genius	learning, sick, experimenting	laboratory, observatory, MRI machine	
horse prop	a horse	a horse	high fiving	farm, kansas, kentucky, idaho, nebraska, peru, argentina	
brown horse prop	a brown horse	a brown horse	high fiving	farm, kansas, kentucky, idaho, nebraska, peru, argentina	
high fiving, greeting	the sense of touch	a greeting, a hand	worshipped	trophy room, winners podium	
donkey prop	a farm animal	a donkey	whipping	mountain trees, mountain pass, mountain trail, gravel path	
pigface prop	greedy, a pig	a greedy pig	farming	farm	
killing for	a killer, an assassin	a gun, a knife, weapons, a gun and a knife	commanding, radicalizing	battlefield, military base, pentagon	
shooting	a gun, shooting a gun	a gun	commanding, radicalizing, targeted	gun range	
writing	writing	a digital device, a pencil	tweeting, learning	classroom, library, office	
accusing	accusing, an accusation, pointing the finger, laying blame	the blame	sweating	police lineup, courtroom	
angry	angry, anger, ranting	a rant	disgusting, taunting, rude	protest march, slum, naples	
arresting	the police, making an arrest	a police officer, a police badge	arrested	police state, police station	
attacking	attacking, an attacker, wielding a knife	a knife, a sharp knife	defensive, scared, blocking	dojo, sparring ring	
banishing	banishing, get out, just go		purposeful, put out, shrugging	city gates, drawbridge, refugee camp, checkpoint barricade	
biting	biting, a savage	a bite, sharp teeth	running off, running away	rubbish dump, outdoors night, park night, refugee camp	
bullying	a bully, charging like a bull	horns	defensive	school courtyard, playground, school hallway	
casting off	breaking free, freedom, breaking the chains	chains, a lock	surprised, freeing, defensive	prison, boneyard, dungeon, police state, red square	
charging	charging like a bull	horns	defensive, hindering, blocking, goading	colombia, dark city, spain	
cold shoulder	the cold shoulder	a block of ice	pleading, begging, introducing oneself, put out	south pole, frozen in ice	
condescending	condescending, a cynic, a snob, rolling his eyes	a cynic	overshadowed, introducing oneself	red carpet event	
critical	a critic, a criticism, a critique	two thumbs down, Wrong answer!	rejected, defensive, blocking, defiant	red carpet event, record label office	
critical about	a criticism, a backbiter	a rumour	defensive, blocking, defiant	record label office, museum	
decapitating	an axe, swinging an axe	a sharp blade	running away, blocking, fleeing	guillotine	
defensive	on the defensive	defensive	charging, bullying, denouncing	battlefield, sparring ring, negotiating table	
defiant	defiant, defiance, an angry reaction	fists, a clenched fist	critical, taunting, rude, accusing, laughing	comedy club, campaign trail	
denouncing	rage, a fiery response	a burning rage	blocking, defensive, defiant	locker room, sparring ring, dojo	
destructive	destruction, swinging a sledgehammer	destructive, a giant hammer	running away, blocking, fleeing	marshlands with bodies, battlefield, lebanon, libya	
disagreeing	no smoking, no smoking zone		smoking cigar	restaurant, coffee shop, sports bar	
disgusted	a disagreement, a debate, a difference of opinion, No!, No way!, false	the answer is no, no way, Never	silencing	campaign trail, debate stage, protest march, courtroom	
disgusted	no parking		driving, transporting	record shop, city street	
disgusted	disgust, a look of disgust	no way, you disgust me	disgusting, vomiting	rubbish dump, muddy rubbish dump, marshlands with bodies, slum	
eluding	to elude, in hiding, a fugitive	a hiding place	searching, hunting, siccing	mountain trail, mountain pass, mountain trees, cave rocks, rocky path, rainy forest	
escaping	to escape, a fugitive	a jail cell, prison bars	hindering	dungeon, attic	
fighting	fighting, a fight, a fighter, throwing a punch	a clenched fist, a punch	blocking, defensive, defiant, kicking	battlefield, marshlands with bodies, dojo, sparring ring	
fighting	to fight, fighting, a fight, a fighter, a veteran		blocking, defensive, defiant	battlefield, dojo, sparring ring	
haughty	to win a medal, a gold medal, a champion, on a pedestal	a trophy	overshadowed, saluting, impressed	winners podium, trophy room	
hiding	to hide, in hiding, a fugitive	a hiding place	hunting, searching, siccing	libya, lebanon, syria, nightsky, outdoors night	
hindering	to hinder, to block		defiant, blocking	dojo, sparring ring, obstacle course, refugee camp	
hitting	to hit, to slap	clenched fists	blocking, defensive, defiant	sparring ring, dojo	
slapping	to slap	a slap	blocking, defensive, defiant	sparring ring, dojo	
staking	a vampire killer	a sharp stick, a hammer, a wooden stake	rising from coffin, preying	graveyard, marshlands, marshlands with bodies, dungeon, 	
poking	to poke, pointing the finger	an accusation	blocking, defensive, covering eyes	sparring ring, dojo, playground	
kicking	to kick, martial arts	a kick, a high kick	blocking, defensive, defiant, punching	dojo, sparring ring	
hunting	to hunt, a hunter, hunting	a pack of dogs, hunting dogs	hiding, eluding, running off, running away	tower in distance, marshlands	
indifferent	to ignore, to tune out		put out, shrugging	living room, dining room, playground	
pushing	to push	a push	blocking	dojo, sparring ring	
rebellious	a rebel, a troublemaker, a rebellion, anarchy	a bomb	blocking, cowering, hiding	outdoors night	
rent an angry mob	an angry mob, a mob		blocking, scared, defensive	outdoors night, city of towers, dark city	
running away	to run away, to panic, running scared, a coward	fear	biting, scary, hungry	mountain pass	
running off	to run off, to run away		savaging, preying, angry, biting	slum, stone stairs, swamp gas	
satirizing	a satire, to joke, to tease, a parody, a prank	sarcasm, wit	chuckling, embarrassed, laughing	comedy club	
savaging	to savage, fierce, a wild animal	sharp teeth, a sharp knife	cowering, running off, running away, fleeing	swamp, swamp hollow, swamp gas	
scary	scary, a fiend, a predator, a monster, a vampire	sharp teeth, bats	scared, cowering	swamp, swamp hollow, nightsky, park night, swamp gas, outdoors night	
stabbing	to stab, to attack	a sharp knife, a knife	scared, running away, fleeing, cowering, blocking	swamp gas, outdoors night	
starving	a diet, on a diet	a waste bin, a restaurant critic, a fussy eater	disappointed, hungry, rumbling	kitchen, food truck, restaurant, dining room	
suspecting	to suspect, suspicion, a doubt	a rat	suspicious, sneaky, devious	swamp, swamp gas, outdoors night	
targeting	a target, archery, an archer	a bow and arrow, shooting an arrow	targeted	sunny field, texas, nebraska, tokyo, taiwan, beijing	
threatening	to threaten, a threat	knives	defensive, blocking, scared, cowering	dojo, sparring ring	
unleashing	a leash, unleashing	an attack dog	cowering, blocking, running away, defensive	marshlands, mountain pass, marshlands with bodies, slum, philippines	
withholding	to negotiate, driving a hard bargain	a hard bargain	owed, negotiating	negotiating table	
holding nose	the sense of smell	a bad smell, a head cold	stepping over	rubbish dump, toilet, slum, philippines	
blocking	to block, to stop, to prevent		running	obstacle course, refugee camp, checkpoint barricade 	
fainting	to faint, to collapse		punching, kicking, slapping	dojo, sparring ring	
frowning	to frown, a frown	a disappointment, unemployed, nobody	questioning, put out	newsroom, radio station, conference room, interview room	
put out	to argue, a doubt, a question	What would you suggest?	questioning, interviewing	newsroom, radio station, conference room, interview room	
shielding behind umbrella	to get wet, rain, a rainy day, bad weather	an umbrella	tossing drink, squirting	tornado, blizzard, rain and clouds, rainy forest, rain	
covering eyes	the sense of sight	fear	scary, preying, demonic	nightsky, park night, outdoors night	
covering eyes	the sense of sight, not seeing anything	an eyesore	nude	bedroom, locker room	
punching	a fist, punching, throwing a punch, a boxer	a punch	blocking, defiant	dojo, sparring ring	
plugging ears	to tune out, to ignore		interviewing, questioning	newsroom, radio station, conference room, interview room	
slinging mud	to make a mess, to throw mud	mud	shielding behind umbrella, shielding with umbrella	marshlands, marshlands with bodies, rubbish dump, muddy rubbish dump, slum, graffiti covered wall	
discarding book	a diary	a boring book	reading, tweeting	library, window cityview	
vomiting	to vomit, to be sick, to get sick	vomit	holding nose, covering eyes	restaurant exterior, food truck	
